Industry,Males ($),Females ($)
Mining,3107.00,2651.20
Manufacturing,1746.30,1562.00
"Electricity, gas, water & waste services",2307.10,2033.30
Construction,1840.00,1701.30
Wholesale trade,1863.80,1625.20
Retail trade,1503.70,1386.70
Accommodation & food services,1494.30,1324.10
"Transport, postal & warehousing",1930.00,1753.60
Information media & telecommunications,2582.90,2144.00
Financial & insurance services,2497.90,2048.20
"Rental, hiring & real estate services",1911.00,1630.00
"Professional, scientific & technical services",2448.60,1926.90
Administrative & support services,1857.40,1513.40
Public administration & safety,2078.80,1984.80
Education & training,2127.10,1974.60
Health care & social assistance,2226.80,1765.10
Arts & recreation services,1931.20,1616.90
Other services,1497.30,1401.00
Total all industries,2014.30,1782.80
